,i_1C (A),rp_neg (m),Eeq_side (V),kappa_film (S/m),epsl_neg,Dl_elect (m^2/s),Ds_neg (m^2/s),i0ref_neg (A/m^2),E_min (V),i0_SEI (A/m^2),csmax_neg(mol/m^3),cl_0(mol/m^3),t_plus,i0ref_metal (A/m^2),sigma_neg,SEI_thickness(m),Capacity loss (%)
1130,0.560844764,1.08142e-05,0.23514278,1.60301e-05,0.312536039,6.60147e-10,5.01e-14,2.933939117,0.087654524,8.23236e-07,29023.15745,1183.789463,0.380070586,73.10075981,81.52736564,5.63026e-11,1.25874099
1131,4.777982996,2.57839e-06,0.258696875,0.000137048,0.389551195,3.18464e-10,6.43e-14,1.174559933,0.014412652,7.32681e-07,32222.31703,1118.955024,0.336744519,75.07460761,85.45246763,3.85732e-11,0.558562322
1132,0.459789901,3.59217e-06,0.045327758,0.000136267,0.2958753,1.64235e-10,8.93e-14,0.558799133,0.09443701,1.43159e-06,29928.64626,1099.93615,0.350452742,75.38913749,84.79366979,2.01712e-12,0.903111822
1133,1.726261899,5.82867e-06,0.33824998,7.09919e-05,0.233192984,5.30422e-10,5.73e-14,1.913163098,0.014716741,1.1042e-07,31787.90598,1041.664137,0.364292379,55.40387517,67.33942844,1.086e-10,0.560833545
1134,1.815755209,8.15784e-06,0.161866808,5.00091e-05,0.381454722,4.06762e-10,3.22e-14,1.057053012,0.06028514,4.32758e-07,32255.31274,1107.287513,0.409413502,95.74109193,87.86323474,6.69737e-12,1.174955251
1135,3.293978441,1.04989e-05,0.31163109,7.12207e-05,0.385811872,2.04963e-10,1.1e-14,2.580198503,0.06696537,1.08779e-06,32238.3841,1098.003245,0.345233864,80.90107662,63.93947394,1.70091e-10,7.981712386
1136,2.314719908,1.0432e-05,0.353871435,0.000211461,0.251524414,4.66903e-10,3.63e-14,3.362916851,0.009031013,1.18707e-06,29475.47438,1088.359779,0.343012341,88.4000667,60.49112658,1.06104e-09,1.584650161
1137,4.713483505,1.04052e-05,0.18004868,0.000100885,0.329957645,2.84844e-10,6.95e-14,1.113003878,0.084470094,1.37046e-07,32651.73352,1195.157418,0.368375436,71.0807926,98.59322572,4.35099e-13,3.458622159
1138,4.332663152,6.16991e-06,0.071702823,0.000216794,0.349143516,4.25911e-10,3.59e-14,2.927922714,0.096504732,1.23123e-06,29256.20445,1191.446838,0.2953209,50.64072773,95.63604026,2.90987e-13,2.512625365
1139,4.167270308,6.32918e-06,0.092491934,0.000225169,0.237189426,6.25139e-10,6.64e-14,0.571833705,0.041640627,1.16888e-06,30542.70963,1102.033605,0.35749729,71.92444977,94.70119244,2.98582e-12,0.973938439
1140,6.410972392,5.00823e-06,0.199823912,0.000232279,0.387889462,3.39828e-10,8.65e-14,3.510580979,0.079661746,1.31944e-06,30155.94473,1025.4285,0.266777352,54.34209205,99.04201584,3.46969e-12,1.544054794
1141,4.559645949,4.85549e-06,0.240601566,0.000183901,0.383516253,3.14778e-10,7.11e-14,3.217964844,0.011235151,3.68667e-07,29300.93726,1048.358928,0.349249849,83.65800936,77.67012213,1.17604e-11,0.827857519
1142,1.102338844,7.27757e-06,0.189982118,0.000146934,0.348558711,6.80221e-10,7.08e-14,2.280318105,0.008536796,6.43779e-07,31137.71401,1185.309626,0.38506383,80.41427981,60.1189733,3.43742e-11,0.568409521
1143,3.339735353,2.29049e-06,0.336144237,0.000227563,0.292371488,3.94799e-10,5.62e-14,1.6617487,0.03952329,8.83557e-07,32325.32933,1179.692762,0.388392074,87.72121485,52.81381319,3.63133e-10,0.663259982
